"company_domain","Enrich company","company_name","company_desc","industry","company_enrich_1","DescriptionFinal","Industry Final","Company Score","Company Type","Linkedin Url - Organization"
"docebo.com","✅ Docebo","Docebo","Docebo is a software company that specializes in learning management systems (LMS). Founded in 2005 by Claudio Erba in Macherio, Italy, the company aims to provide innovative e-learning solutions. Docebo has expanded globally, with offices in the United States, the United Kingdom, and other locations.

The company's main product is the Docebo Learn LMS, a cloud-based platform designed to help businesses deliver effective training and development programs. It features content authoring tools, social learning capabilities, advanced analytics for performance insights, and customization options to meet specific training needs. Docebo serves over 4,000 customers worldwide, including both small businesses and large enterprises across various industries. Its focus on scalability, security, and reliability has established it as a prominent name in the e-learning sector.","information technology & services","Response","Provides cloud-based AI-powered learning platform for businesses' employee and partner training","Learning management software",25,"B2B SaaS","http://www.linkedin.com/company/docebo"
"promoboxx.com","✅ Promoboxx","Promoboxx","Promoboxx is a digital marketing platform that connects brands with local retailers to enhance their marketing efforts. Founded in 2010 and based in Boston, the company focuses on building strong relationships between brands and independent retailers. Promoboxx empowers retailers to become more effective marketers, which helps drive better business outcomes for both parties.

The platform offers tools for organizing and engaging retailer networks, allowing brands to collaborate with local partners. It enables brands to build, manage, and fund digital campaigns, providing marketing support and content to retailers. Additionally, Promoboxx includes reporting tools to assess the business outcomes and key performance indicators of these campaigns.

Promoboxx has partnered with over 100 leading brands, delivering more than 7 million campaigns across more than 30,000 retailers. The company also emphasizes a strong culture of diversity, equity, and inclusion, fostering an inclusive environment for its employees.","marketing & advertising","Response","Digital marketing platform connecting brands with local retailers to enhance marketing efforts.","Marketing platform software",25,"B2B SaaS","http://www.linkedin.com/company/promoboxx"
"informatica.com","✅ Informatica","Informatica","Informatica Inc. is a prominent enterprise data management company based in Redwood City, California, founded in 1993. The company specializes in cloud-native data integration, quality, governance, and AI-driven solutions, supporting organizations in their digital transformation journeys. Its core offering is the Intelligent Data Management Cloud (IDMC), a SaaS platform powered by the CLAIRE AI engine.

Informatica provides a comprehensive range of services, including data integration through cloud-native ETL/ELT, API integration, and real-time data streaming. The company also focuses on data quality and governance, master data management, data cataloging, and security solutions. With a strong customer base that includes over 80% of Fortune 100 companies, Informatica processes more than 110 trillion cloud transactions monthly and offers over 250 intelligent data services. The company is recognized as a leader in data ingestion, quality, intelligence, and master data management.","information technology & services","Response","Provides cloud-native AI-powered data management SaaS platform for enterprise customers.","Data management software",25,"B2B SaaS","http://www.linkedin.com/company/informatica"
"doppel.com","✅ Doppel","Doppel","Doppel is a cybersecurity company dedicated to addressing AI-powered social engineering threats through its adaptive AI platform. The company aims to protect digital integrity by detecting and dismantling impersonation, phishing, and other cybercrimes. Its approach combines AI-driven analysis with human expertise to make organizations less appealing targets for cyber adversaries.

Doppel offers several key services, including Doppel Vision, an AI-driven platform that identifies phishing and email-based threats while continuously learning from blocked attacks. The company also provides brand protection to combat impersonation and brand abuse, as well as executive protection for high-profile individuals. Additionally, Doppel has solutions like Employee AbuseBox and Brand AbuseBox, which focus on securing corporate inboxes and identifying fraudulent campaigns, respectively. The company serves various industries, including finance, tech, crypto, retail, media, healthcare, and government, emphasizing its capability to defend against sophisticated social engineering threats.","information technology & services","Response","Provides AI-driven cybersecurity platform protecting organizations from social engineering and phishing threats.","Cybersecurity software",25,"B2B SaaS","http://www.linkedin.com/company/doppelhq"
"avalara.com","✅ Avalara","Avalara","Avalara is a prominent provider of cloud-based tax compliance automation software, based in Seattle with offices worldwide, including Belgium, Brazil, Canada, India, and the U.K. The company aims to simplify tax compliance for businesses by automating processes, which helps reduce errors and enhance efficiency in registration, calculation, reporting, and document management. Avalara serves over 43,000 customers across more than 75 countries, processing billions of tax calculations each year.

Key products include Avalara AvaTax, a real-time tax calculation engine, Avalara CertCapture for managing exemption documentation, and Avalara MatrixMaster for tax rate management. The company also offers e-invoicing and live reporting solutions for cross-border compliance. Avalara provides consulting, technical support, and training courses to help businesses optimize their tax processes. With over 1,200 integrations with various platforms, Avalara continues to expand its capabilities, including recent partnerships and acquisitions to enhance its compliance offerings.","information technology & services","Response","Cloud-based tax compliance software automating processes for businesses globally.","Tax compliance software",25,"B2B SaaS","http://www.linkedin.com/company/avalara"
"avalara.com","✅ Avalara","Avalara","Avalara is a prominent provider of cloud-based tax compliance automation software, based in Seattle with offices worldwide, including Belgium, Brazil, Canada, India, and the U.K. The company aims to simplify tax compliance for businesses by automating processes, which helps reduce errors and enhance efficiency in registration, calculation, reporting, and document management. Avalara serves over 43,000 customers across more than 75 countries, processing billions of tax calculations each year.

Key products include Avalara AvaTax, a real-time tax calculation engine, Avalara CertCapture for managing exemption documentation, and Avalara MatrixMaster for tax rate management. The company also offers e-invoicing and live reporting solutions for cross-border compliance. Avalara provides consulting, technical support, and training courses to help businesses optimize their tax processes. With over 1,200 integrations with various platforms, Avalara continues to expand its capabilities, including recent partnerships and acquisitions to enhance its compliance offerings.","information technology & services","Response","Provides cloud-based tax compliance automation software to businesses worldwide for efficient tax management.","Tax automation software",25,"B2B SaaS","http://www.linkedin.com/company/avalara"
"oracle.com","✅ Oracle","Oracle","Oracle Corporation is a multinational technology company based in Austin, Texas, specializing in database software, cloud solutions, and enterprise software products. Founded in 1977, Oracle has evolved from its original name, Software Development Laboratories, to become a leader in the technology sector. The company went public in 1986 and has since built a diverse portfolio of offerings.

Oracle's key products include the Oracle Database, enterprise resource planning (ERP) software like Oracle Fusion Applications, customer relationship management (CRM) tools, and cloud infrastructure services through Oracle Cloud Infrastructure (OCI). The company also provides hardware solutions, including servers and storage, and offers industry-specific applications for sectors such as healthcare, finance, and retail. Oracle has expanded its capabilities through strategic acquisitions, enhancing its software and hardware offerings.

In recent years, Oracle has focused on cloud computing, AI integration, and autonomous database technologies, positioning itself as a strong competitor in the technology landscape. The company also offers consulting, training, and hosting services to support its comprehensive product ecosystem.","information technology & services","Response","Provides cloud software, databases, and enterprise solutions to global business customers.","Enterprise software",25,"B2B SaaS","http://www.linkedin.com/company/oracle"
"audioeye.com","✅ AudioEye","AudioEye","AudioEye is a technology company based in Tucson, Arizona, that specializes in digital accessibility solutions. Founded in 2005 and publicly traded on Nasdaq (AEYE), the company is dedicated to ensuring compliance with accessibility standards such as the Americans with Disabilities Act (ADA) and Web Content Accessibility Guidelines (WCAG). Its mission is driven by the personal experiences of its co-founders, particularly in addressing digital accessibility barriers.

The company offers an Automated Accessibility Platform that monitors and fixes accessibility issues in real time, along with the AudioEye Reader, a text-to-speech tool for users without assistive technology. AudioEye also provides expert remediation services and compliance reporting to help clients meet accessibility standards. Its patented technology reformats web content dynamically, ensuring compatibility across devices without requiring code changes. AudioEye serves a diverse range of clients, including government agencies, enterprises, and nonprofits, with a global team supporting its operations across three continents.","information technology & services","Response","Provides cloud accessibility software and services to enterprises, governments, and nonprofits.","Accessibility software",25,"B2B SaaS","http://www.linkedin.com/company/audioeye-inc"
"attensi.com","✅ Attensi","Attensi","Attensi is a global leader in gamified simulation training, founded in 2012 in Norway. The company employs 230 people and operates in over 150 countries, specializing in AI-powered, game-based training solutions that enhance employee skills and organizational performance. Attensi combines 3D gamified simulations, behavioral psychology insights, and AI-driven technology to create immersive training environments.

Their offerings include interactive training modules for onboarding, compliance, process adoption, and performance replication. Attensi's solutions are accessible on mobile, desktop, and VR platforms, supporting over 50 languages. The company has received recognition for its innovations, including the ""Best AI Product"" award at the 2024 Viking Ventures Awards. Attensi serves a diverse range of global brands across various industries, including hospitality, professional services, financial services, and healthcare.","information technology & services","Response","Provides AI-driven gamified training software for enterprises across multiple industries worldwide.","Simulation training software",25,"B2B SaaS","http://www.linkedin.com/company/attensi"
"auditboard.com","✅ AuditBoard","AuditBoard","AuditBoard is a software company founded in 2014 by Daniel Kim and Jay Lee, both former auditors. The company aims to streamline audit, risk, and compliance processes for enterprises through a user-friendly platform. Originally named Soxhub, it rebranded to AuditBoard after receiving investment from Battery Ventures in 2018. Since then, the company has achieved significant growth, surpassing $200 million in annual recurring revenue by late 2023.

AuditBoard provides a suite of over eight product modules that connect controls and frameworks across audit, risk, and compliance teams. These modules assist companies in managing various risks, including cyber threats and regulatory compliance. The platform is designed by auditors for auditors, ensuring it meets specific industry needs effectively. In 2024, AuditBoard was acquired by Hg for over $3 billion, with Scott Arnold continuing as CEO to lead the company into its next phase of innovation.","information technology & services","Response","Provides cloud-based audit, risk, and compliance software platform serving enterprise clients.","Audit risk software",25,"B2B SaaS","http://www.linkedin.com/company/auditboard"
"attensi.com","✅ Attensi","Attensi","Attensi is a global leader in gamified simulation training, founded in 2012 in Norway. The company employs 230 people and operates in over 150 countries, specializing in AI-powered, game-based training solutions that enhance employee skills and organizational performance. Attensi combines 3D gamified simulations, behavioral psychology insights, and AI-driven technology to create immersive training environments.

Their offerings include interactive training modules for onboarding, compliance, process adoption, and performance replication. Attensi's solutions are accessible on mobile, desktop, and VR platforms, supporting over 50 languages. The company has received recognition for its innovations, including the ""Best AI Product"" award at the 2024 Viking Ventures Awards. Attensi serves a diverse range of global brands across various industries, including hospitality, professional services, financial services, and healthcare.","information technology & services","Response","Provides AI-driven gamified training software enhancing employee skills globally across industries","Gamified training software",25,"B2B SaaS","http://www.linkedin.com/company/attensi"
"att.com","✅ AT&T","AT&T","AT&T is a prominent American telecommunications company with a history dating back to the invention of the telephone by Alexander Graham Bell in 1876. Originally founded as the Bell Telephone Company, it became the American Telephone and Telegraph Co. (AT&T) in 1885 to enhance long-distance communication. Today, AT&T Inc. is a global provider of telecommunications, media, and technology services, serving millions of customers in consumer, business, and government sectors.

The company offers a range of services, including wireless communications with mobile voice and data plans, high-speed internet through fiber-optic and DSL, and entertainment options like streaming and IPTV. AT&T also provides business solutions such as cloud services, cybersecurity, and global networking. Additionally, it supports other carriers and government contracts through its wholesale and infrastructure services. AT&T continues to evolve, focusing on advancements in 5G technology and fiber expansion.","telecommunications","Response","Provides telecommunications, internet, and technology services to consumers and businesses globally.","Telecommunications services",18,"B2B Tech Services","http://www.linkedin.com/company/att"
